0,
agave,시럽
almonds,아몬드
anchovy,안초비
apples,사과
avocado,아보카드
baby,꼬마 채소
back,등갈비
baking,베이킹 파우더
bananas,바나나
barbecue,바비큐 소스
basmati,바스마티
bass,농어
beans,콩
beef,소고기
beets,비트
bell,파프리카
berries,베리
bibb,양상추
black,후추
boneless,닭가슴살
bones,사골
bread,빵
breadcrumbs,빵가루
breast,가슴살
brown,황설탕
buns,버거 빵
butter,버터
cabbage,양배추
candied,사탕
cardamom,카다멈
celery,샐러리
chard,근대
cheddar,체다
cheese,치즈
cherries,체리
chia,치아씨드
chicken,닭고기
chiles,칠리
chili,고춧가루
chipotle,치포틀레
chocolate,초콜릿
chops,찹스테이크
chorizo,초리조
choy,청경채
chuck,목살
cider,사과주
cinnamon,시나몬
cocoa,코코아
coconut,코코넛
cod,대구
cookies,쿠키
cooking,요리용
corn,옥수수
cornmeal,옥수수가루
cottage,커티지 치즈
cranberry,크랜베리
cream,크림
cr?me,리큐르
cucumber,오이
curry,카레
dark,럼
dates,대추
de,아르볼 칠리
dried,건
duck,오리
egg,"['달걀','계란']"
endive,엔다이브
fennel,"['펜넬','회향']"
feta,페타 치즈
figs,무화과
fillets,"['필렛','필레','휠레']"
fish,생선
flax,"['아마씨','플랙시드']"
flour,밀가루
food,식용
fruit,과일
garlic,마늘
gelatin,젤라틴
gold,감자
graham,크래커
grain,"['통밀','홀그레인']"
grape,"['포도','대추토마토']"
grapefruit,자몽
greekstyle,그릭 요거트
green,"['녹색','풋']"
grill,
ground,"['간 고기','다짐육']"
ham,햄
head,"['머리','윗부분']"
hearts,아티초크
heavy,헤비 크림
heavyduty,기타
hot,"['핫 소스','고추장']"
ice,아이스크림
italian,이탈리아 소시지
jalape?o,할라피뇨
jar,절임
juice,주스
kale,케일
lasagna,라자냐
leaf,월계수잎
leaves,허브
left,
lemon,레몬
lettuce,양상추
lime,라임
mango,망고
milk,우유
mushrooms,버섯
mustard,머스터드
new,멕시코 칠리
nuts,견과류
oats,귀리
oil,식용유
olive,올리브유
olives,올리브
on,
onion,양파
orange,오렌지
outer,겉잎을 제거한
paper,페이퍼
parsley,파슬리
pastry,"['페이스트리','페스츄리']"
peaches,복숭아
pears,배
peas,콩
peeler,
pepper,후추
peppercorns,통후추
picked,
pickled,피클
pie,파이
pinto,콩
pita,피타 빵
pizza,피자
plain,플레인 요거트
plum,"['자두','방울 토마토']"
pork,돼지고기
potatoes,감자
powder,기타
preferably,기타
red,"['레드 와인','고춧가루','홍고추']"
removed,
rib,갈비
rice,쌀
ricotta,리코타 치즈
rind,껍질을 제거한
rolls,롤
root,뿌리
russet,감자
rye,호밀
saffron,사프란
salmon,연어
salsa,살사
salt,소금
sandwich,식빵
sauce,소스
sausage,소시지
scallops,가리비
scotch,"['스코치 보닛','위스키']"
sea,천일염
seasoning,양념
see,기타
seeds,"['씨앗','시드']"
serrano,세라노 고추
shelled,"['깍지','껍데기']"
short,숏
shortening,쇼트닝
shredded,"['슈레드','얇게 썬']"
shrimp,새우
skin,껍질
smoked,훈제
soda,소다
spice,양념
squash,으깬
star,팔각
steaks,스테이크
stems,줄기
stores,기타
strawberries,딸기
string,요리용 실
strip,길게 자른
sugar,설탕
sundried,건토마토
syrup,시럽
tea,차
tenderloin,안심
thai,태국
tofu,두부
tomatoes,토마토
top,
turkey,
vanilla,
vegetable,
vinegar,
virgin,
water,
wheat,
white,
yeast,
yogurt,
